"","x"
"334","ROM1"
"335","CLRN1"
"336","CRX"
"337","ARL6"
"338","PDE6A"
"339","RPE65"
"340","RLBP1"
"341","PRPF6"
"342","BEST1"
"343","CYP26C1"
"344","SAG"
"345","SEMA4A"
"346","MAK"
"347","SNRNP200"
"348","PRPF8"
"349","RGR"
"350","RDH12"
"351","DHDDS"
"352","GUCA1B"
"353","OFD1"
"354","IDH3B"
"355","PDE6B"
"356","RHO"
"357","ABCA4"
"358","ATP7B"
"359","CDHR1"
"360","EYS"
"361","RP1"
"362","IMPG2"
"363","FSCN2"
"364","CERKL"
"365","FAM161A"
"366","RPGR"
"367","PRPH2"
"368","TULP1"
"369","USH2A"
"370","ZNF513"
"371","NRL"
"372","PRPF31"
"373","TTC8"
"374","PRCD"
"375","RP2"
"376","CRB1"
"377","ARL2BP"
"378","RP9"
"379","SPATA7"
"380","KLHL7"
"381","PROM1"
"382","ECM1"
"383","TOPORS"
"384","PRPF3"
"385","IKBKG"
"386","TFAP2A"
"387","TFR2"
"388","SH3BP2"
"389","B4GALT7"
"390","B3GALT6"
"391","TERC"
"392","AGPAT2"
"393","BSCL2"
"394","HFE"
"395","FAH"
"396","PRDM5"
"397","ZNF469"
"398","ERCC8"
"399","GALT"
"400","GBE1"
"401","UROS"
"402","GATA1"
"403","ERCC6"
"404","NHP2"
"405","CHST14"
"406","DKC1"
"407","TALDO1"
"408","NOP10"
"409","TINF2"
"410","NPHP3"
"411","MPV17"
"412","WRAP53"
"413","POLG"
"414","KRT5"
"415","LAMB3"
"416","SFTPC"
"417","SLC25A13"
"418","LAMC2"
"419","HAMP"
"420","LAMA3"
"421","ATP8B1"
"422","COL17A1"
"423","KRT14"
"424","UROD"
"425","TNXB"
"426","PLEC"
"427","JAG1"
"428","ACVRL1"
"429","SMAD4"
